rank,prev_rank,name,league,off,def,spi
168,177,Pachuca,Mexican Primera Division Torneo Clausura,1.65,1.31,53.27
169,175,Caykur Rizespor,Turkish Turkcell Super Lig,1.53,1.2,53.24
170,168,Frosinone,Italy Serie A,1.45,1.13,53.06
171,170,1. FC Nürnberg,German Bundesliga,1.47,1.16,52.86
172,171,St. Truidense,Belgian Jupiler League,1.49,1.18,52.86
173,192,Los Angeles FC,Major League Soccer,1.71,1.4,52.66
174,173,Guingamp,French Ligue 1,1.3,1.0,52.65
175,174,Mouscron-Peruwelz,Belgian Jupiler League,1.38,1.09,52.46
176,181,Jiangsu Suning FC,Chinese Super League,1.5,1.21,52.4
177,191,Terek Grozny,Russian Premier Liga,1.15,0.87,52.11
178,169,Guimaraes,Portuguese Liga,1.32,1.04,52.03
179,164,FC Cologne,German 2. Bundesliga,1.71,1.44,52.02
180,183,Chievo Verona,Italy Serie A,1.45,1.19,51.77
181,186,KV Kortrijk,Belgian Jupiler League,1.51,1.25,51.61
182,180,Bristol City,English League Championship,1.46,1.21,51.6
183,182,Huddersfield Town,Barclays Premier League,1.39,1.14,51.35
184,188,Parma,Italy Serie A,1.47,1.23,51.24
185,190,Bahía,Brasileiro Série A,1.31,1.07,51.2
186,222,FC Ufa,Russian Premier Liga,1.23,0.99,51.14
187,185,Anderlecht,Belgian Jupiler League,1.41,1.18,50.96
188,172,Dinamo Moscow,Russian Premier Liga,1.01,0.78,50.87
189,199,Desportivo Aves,Portuguese Liga,1.33,1.11,50.85
190,193,CA Independiente,Argentina Primera Division,1.34,1.12,50.71
191,194,Velez Sarsfield,Argentina Primera Division,1.25,1.03,50.57
192,223,Perth Glory,Australian A-League,1.55,1.34,50.54
193,195,BATE Borisov,UEFA Europa League,1.51,1.3,50.51
194,178,Rostov,Russian Premier Liga,1.07,0.85,50.41
195,200,Antwerp,Belgian Jupiler League,1.29,1.08,50.32
196,196,Shandong Luneng,Chinese Super League,1.53,1.34,50.27
197,189,KAA Gent,Belgian Jupiler League,1.43,1.24,50.09
198,203,AIK,Swedish Allsvenskan,1.21,1.01,50.07
199,198,Sheffield Wednesday,English League Championship,1.34,1.15,49.89
200,179,Rapid Vienna,Austrian T-Mobile Bundesliga,1.63,1.46,49.79
201,217,Derby County,English League Championship,1.34,1.17,49.76
202,201,FC Lugano,Swiss Raiffeisen Super League,1.34,1.16,49.66
203,215,Aris Salonika,Greek Super League,1.34,1.18,49.43
204,197,Millwall,English League Championship,1.28,1.12,49.38
205,211,Nagoya Grampus Eight,Japanese J League,1.51,1.36,49.31
206,187,Middlesbrough,English League Championship,1.28,1.12,49.28
207,202,FC Utrecht,Dutch Eredivisie,1.67,1.52,49.19
208,204,Santos Laguna,Mexican Primera Division Torneo Clausura,1.36,1.21,49.04
209,214,Stoke City,English League Championship,1.11,0.95,49.03
210,206,Apollon Limassol,UEFA Europa League,1.37,1.22,49.03
211,209,Toluca,Mexican Primera Division Torneo Clausura,1.45,1.31,49.0
212,176,BK Hacken,Swedish Allsvenskan,1.37,1.23,48.87
213,212,Vasco da Gama,Brasileiro Série A,1.28,1.14,48.75
214,207,Botafogo,Brasileiro Série A,1.26,1.12,48.75
215,219,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.27,1.13,48.61
216,213,Union Santa Fe,Argentina Primera Division,1.2,1.07,48.51
217,210,Hannover 96,German Bundesliga,1.49,1.38,48.41
218,208,Atlanta United FC,Major League Soccer,1.43,1.32,48.4
219,205,Blackburn,English League Championship,1.41,1.29,48.37
220,227,Necaxa,Mexican Primera Division Torneo Clausura,1.43,1.32,48.19
221,220,Moreirense,Portuguese Liga,1.21,1.11,47.77
222,240,Urawa Red Diamonds,Japanese J League,1.33,1.24,47.75
223,218,Sporting Kansas City,Major League Soccer,1.65,1.58,47.43
224,234,Alanyaspor,Turkish Turkcell Super Lig,1.27,1.19,47.4
225,221,Birmingham,English League Championship,1.33,1.25,47.39
226,251,Brondby,Danish SAS-Ligaen,1.61,1.55,47.32
